Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"About Triplebyte

Triplebyte is transforming the way software engineers are hired. Our mission is to build an open, valuable and skills-based credential for all engineers and data scientists. This is important because millions of people have skills (and deserve good jobs), but don't fit the profile that recruiters seek. We aim to cut out that noise by matching opportunities to people who have the skills to succeed in them - regardless of their background.

Companies like Apple, Dropbox and American Express trust Triplebyte's technical assessment to identify the best engineers for their open roles and reduce the time and effort it takes to hire them.

We raised a $35 million Series B and our team of 64 is growing! We're building out the leadership of our team to help us scale to the next phase.

Press Links:

You can read more about our company and hear from our founders in the press here:

Triplebyte raises $35M for its online coding test and credentialing service for hiring engineers

Triplebyte incubates ColorStack to increase Black and Latinx representation in CS programs

CNBC (Your Next Job Interview Could be with a Robot)

Building an Engineering Team - Harj Taggar and Ammon Bartram

Role Description

As a data scientist at Triplebyte, you'll have the opportunity to work on a variety of challenges to help us scale. You'll be part of a small team, who are leveraging data to fix technical hiring. Your day to day, will include a mix of dataset acquisition, statistical modeling, exploratory data analysis, and software engineering. You'll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.Fields your work will touch on
Psychometrics
Recommender systems
Time series analysis
Survival analysis
Bayesian inference
Probabilistic programming
This is an ideal role for a data scientist who wants the scope and responsibility to own features/products from the inception and research phase through to measuring real-world results.

Compensation and Benefits

Competitive salary and stock options package

Open vacation policy

Employer paid health, vision and dental insurance

401(k) plan with matching

Pre-tax commuter benefits

Daily catered lunches

The Company is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company does not discriminate against employees or applicants (in any aspect of employment, including, but not limited to recruiting and hiring, job assignment, compensation, opportunities for advancement, promotion, transfers, evaluation, benefits, training, discipline, and termination), on the basis of any characteristic protected under applicable federal, state, or local laws.",3.2,"Triplebyte
3.2",California,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Analytics Consultant Virtual Hiring Event,-1,"AppleOne Employment Service Hiring Event!

Event Details
Date: Thursday, October 1, 2020

What We're Hiring For

Analytics Consultant

Intake Details:

Requirements

Master's Degree

Extensive knowledge of the most complex financial products and/or portfolios

. CFA or CPA preferred.

Ability to work remotely and in the North Charlotte office when needed

Technical requirements

The interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the video interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.

What to bring to this event

An electronic copy of your resume

What to wear

Dress code is Business casual (dress pants/skirt, button down/blouse, optional tie).

About AppleOne Employment Service

Hiring Made Human®

Founded in 1964, and built on a policy of helping quality individuals like yourself achieve your employment goals, AppleOne has grown to become the single largest privately owned employment service in North America.

AppleOne is more than just a job. It's a place where you can find the flexibility to pursue your interests while building a career! We can help you open the door to new and exciting opportunities. AppleOne is committed to you. We are here to assist you throughout your interviews and your new jobs, and to listen to your thoughts and needs when you're ready to make a change. We are always available to answer your questions, and no matter what your goals, we look forward to the opportunity to work with you.

AppleOne seeks to help you no matter where you are in your career.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

Responsible for performing highly complex activities related to complex financial products, business analysis and/or risk modeling. Duties typically include developing analytical strategies for real time decision-making and/or long-term objectives, performing analytical support and/or modeling, and providing insights, regarding a wide array of business initiatives.

This job utilizes stochastic, structured securities, option adjusted spread analyses, etc. and has expertise on the theory and mathematics behind the analyses.",3.4,"AppleOne Employment Service
3.4","Charlotte, NC",1001 to 5000 Employees,1964,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
Per Diem Medical Laboratory Scientist/Medical Technologist,-1,"Department Overview

_*This is a Per Diem, flexible hour position. We anticipate, at this time, a need for 2 days a week at minimum. Hours and schedule subject to change as clinic needs change**.*_

The Medical Laboratory Scientist provides information for diagnosis, treatment, and prevention of disease by conducting medical laboratory tests, procedures, and analyses on blood, body fluid and other specimen types in the areas of Hematology, Chemistry and Urinalysis. The position requires monitoring and interpretation of all quality control systems, instrument maintenance and troubleshooting.
Function/Duties of Position*
Follows all written procedures, policies and guidelines.
Specimen handling, including collection, labeling and processing of specimens. May perform special procedures including assisting the provider on bone marrow collections.
Resulting: Ensures all patient data, both internal and send out testing, is received and documented in the patient Electronic Medical Record (EMR). Recognizes Critical Value results and immediately responds by notifying the appropriate provider.
Instrumentation: Calibrates and performs routine maintenance on analytic analyzers. Uses problem solving skills to troubleshoot when indicated by patient or quality control results. Instruments: Sysmex XN1000, Sysmex KX 21N, Ortho Clinical Diagnostics Vitros 350, Abbott Piccolo Express and Microscope.
Computer Programs: Orchard Harvest LIS, iKnowMed EMR, EPIC, Word, Excel
Quality Control: Performs all quality control (QC) and quality assurance (QA) tasks. This includes, but is not limited to: daily analyzer controls, instrument function checks, Proficiency Testing, documentation of QA issues involving both patients and/or instrument problems. Reports all QC and/or QA problems to the Laboratory Supervisor in a timely manner.
Inventory/Supplies: Maintains adequate laboratory supplies by performing regular stock inventories and processing supply orders as needed. Maintains a clean environment within the laboratory.
Other Responsibilities*
Completes competency training and annual review of policies and procedure manuals in a timely manner. Complies with Safety policies/processes and HIPAA regulations.
Attends and participates in staff meetings, site meetings, and training sessions. Maintains and documents personal continuing education. Keeps abreast of work unit issues and activities.
Assists with miscellaneous technical administrative functions to support daily laboratory activities. When delegated, performs training of new employees and mentors less experienced employees.
Observes and reports changes in patient’s condition.
Multitasks effectively, accesses appropriate staff resources when needed. Willingly cross trains and/or participates in projects.
Carries out job responsibilities ethically, professionally and with personal integrity; functions as a part of the team by exhibiting excellent communications, teamwork and customer service skills.
Demonstrates positive, respectful and honest verbal, written and listening skills in all interactions. Willingly gives and accepts honest, constructive criticism, and communicates effectively with all our customers (patients, coworkers, providers, and caregivers, etc.).
Follows infection control policies, maintains knowledge of personal safety, patient safety, fire and electrical safety and disaster plan.
Other job duties as assigned.
Required Qualifications*
Bachelor's degree in Medical Technology, Clinical Laboratory Science or Medical Laboratory Science which includes a clinical lab externship, and current certification as MT (ASCP), or MLS (ASCP) within 90 days of hire. Current certification and credential maintenance must be maintained for individuals who were certified after January 1, 2004

OR

Completion of a 2-year accredited Medical Laboratory Technician program, plus MLT (ASCP) or equivalent certification within 90 days of hire, and 4 years of experience in a clinical laboratory. Certification as MT (ASCP) or MLS (ASCP) or by AMT preferred. Current certification and credential maintenance must be maintained for individuals who were certified after January 1, 2004

OR

Bachelor's degree in a Chemical or Biological field, and four years’ experience as a Medical Laboratory Technician in a clinical laboratory performing testing and related tasks
Preferred Qualifications*
1 recent year of clinical experience
Past Oncology Experience, with working knowledge of oncology medical terminology and procedures
2 Years or more of hematology experience
Orchard Harvest Laboratory Information System experience
Hours*
This is a Per Diem flexible hour position. We anticipate, no less than 2 a week position. Hours and schedule are subject to change as our needs change. If you are an experienced tech looking for a flexible schedule, this could be the job for you!
Wage*
DOE
OOS is an Equal Opportunity Employer*
Job Types: Full-time, Part-time

Pay: Up to $29.00 per hour

Schedule:
Holidays
Monday to Friday
Weekends
Application Question:
Please briefly describe how you meet one or more of our required qualifications
Work Location:
One location
Work Remotely:
No",1.9,"Oregon Oncology Specialists
1.9","Salem, OR",51 to 200 Employees,-1,Private Practice / Firm,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Clinical Lab Scientist - (1st Shift ASCP),-1,"Medical Technologist / MLT (ASCP Certified)

Dayshift
Great Benefits

New Graduates welcome to apply. Must be ASCP certified.

Finding a balance between work and a fulfilling life outside of work is no easy task. If you appreciate scenic views, fishing, world class golf courses, and affordable housing this would be the perfect place to settle down and become a member of a tight knit community.

Analyzing lab testing is pretty complex. We depend on the knowledge and skills of our MT/ MLT's when it comes to evaluating medical lab tests to determine what’s happening with our patients. They are vital to the diagnosis, treatment, and prevention of diseases. Love working in lab and analyzing results? Apply with McCall and Lee today!

What you’ll do:

· Conduct chemical analysis of body fluids, including blood, urine, or spinal, to determine presence of normal or abnormal components

· Collect biological specimens from patients

· Operate, calibrate, and maintain equipment used in quantitative or qualitative analysis

· Enter data from analysis of medical tests or clinical results into computer for storage

Requirements:

· Bachelor's degree in Medical Technology or related field

· Associates Degree in Medical Laboratory Technology

· Certification by the ASCP Board of Registry/Board of Certification

To Apply Send Resume to:

Taylot Isaacs | Executive Recruiter
taylor@mleehealthcare.com
Main (317) 854-8411
www.MLee.com",5.0,"McCall and Lee
5.0","Florissant, MO",Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD)
Software Tester/ Data Analyst Virtual Hiring Event,-1,"Centauri Hiring Event!

Event Details
Date: Wednesday, September 30, 2020

What We're Hiring For

Technician / Field Service Rep / Instructor

Electro-Optical Engineer

Sr. Electro-Optical Engineer

Software Tester/ Data Analyst

Systems & Network Administrator

Systems Integration and Test Engineer

Cybersecurity Engineer

Program Control Analyst

Earned Value Financial Analyst

Intake Details:

Requirements

Secret Clearance

What to bring to this event

An electronic copy of your resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Casual (come as you are, but please be presentable).

About Centauri

Centauri is a high-end engineering, intelligence, cybersecurity and advanced technology solutions company headquartered in Chantilly, Virginia with offices Nationwide. We work with our customers in the intelligence and national security communities, helping them solve their most difficult challenges. Our agile, mission-first approach empowers our advanced technical and operational teams to meet the real-time demands and high-impact missions of national defense agencies across land, air, sea, space, and cyberspace.



What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

Overview:

Software Tester who can document and perform tests for the High Energy Laser (HEL) program. The position will require performing Software Engineering analysis and testing on a Mobile Ground Weapons Platform incorporating Electro-Mechanical subsystems, including but not limited to, High Energy Laser Weapons Subsystem (HEL), Thermal Management (TMS), Electrical Power Distribution Subsystem (EPDS), Inertial Navigation and Global Positioning Subsystems (GPS & INS), threat acquisition and targeting subsystem, and on-board communications network. The candidate will be involved in performing manual tests to ensure the software created by developers is fit for purpose. Some of the duties include analysis of integrated systems and software interaction to mitigate risk and prevent software issues.
The candidate will need the ability to work in a fast-paced environment with minimal supervision.

Additional experience in Data Analysis
Responsible for building MATLAB® data analysis and graphics tools for visual data exploration. Candidate will be responsible for developing automated test suites and conducting hands on testing for tools to interact with charts in MATLAB. Set up of digital and analog data acquisition tools, data reduction, and data review will also be among the duties. Candidate will engage early in the software development process, influencing requirements specifications, attending usability sessions, and discussing software design and testability with the development team, to ensure that we deliver high quality software to customers.

Experience working with data analytics tools and reporting platforms


Responsibilities:
-Analyzing users stories and use cases/requirements for validity and feasibility
-Understand and follow test plans and test procedures
-Independently setup test environments and network configurations
-Write and execute manual test cases
-Create and maintain automated and manual test suites with a heavy emphasis on GUI test automation
-Design and develop test tools to support UI test automation for MATLAB design environment components
-Work with data analytics tools and reporting platforms
-Map test cases to requirements for traceability
-Perform all levels of testing (System, Integration, and Regression)
-Provide detailed documentation and evidence of test results
-Deploy programs and evaluate user feedback
-Detect and track software defects and inconsistencies
-Experience in documenting requirements and specifications
-Apply quality engineering principals throughout the Agile product life-cycle
-Collaborate closely with other team members and departments
-Proficiency in engineering tools: Primarily Jira and Confluence",4.7,"Centauri
4.7","Huntsville, AL",501 to 1000 Employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
Senior Machine learning scientist,-1,"Responsibilities:
Collect image/video data and clean/organize/augment them,
Build machine learning framework to train various models for camera image-based applications for autonomous driving
Implement the inference process for on-vehicle testing.
Qualification:
MS or Ph.D. in computer science or related real-world experience extensive experience in machine learning and deep learning
Experience in image/video processing and computer vision, comfortable writing code in C/C++, experience in Pytorch/Tensorflow
Familiar with motion estimation, depth estimation, image segmentation, camera pose estimation, etc.
Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Referral program
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Work Remotely:
Temporarily due to COVID-19",4.0,"Black Sesame Technologies Inc
4.0","Santa Clara, CA",51 to 200 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD)
Data Science Engineer Full Stack - AI,-1,"Data Science Engineer Full Stack - AI

Overview

Our ideal candidate has AI and development experience combined with a passion for design, user experience, analytics, and customer success.

Responsibilities:
Design and assist in the development of high-quality, scalable, and maintainable data science frameworks
Work with other developers to design and implement data science features in support of established security and acceptance criteria in collaboration with product owners
Work with engineers, designers, and analysts to deliver innovative AI product feature enhancements
Provide on-going development support as needed
Assist in the development of feature and support documentation
Assist the QA team with feature and regression testing for feature acceptance
Interface with the core engineering, product, and DevOps teams as necessary to ensure success of Data Science products from development, design, and infrastructure perspectives
Develop and maintain adherence to product management processes throughout the organization.
Help create compelling user experiences
Create and deliver on project timelines
BryterCX is the leading company in providing a Journey Intelligence SaaS solution to organizations in order to improve their customers experiences by removing friction and optimizing every function and channel. We make the world better by making business experiences better. The BryterCX Journey Management Suite - IRIS - provides organizations with the ability to increase revenue by lowering attrition, decreasing costs by reducing analog channels, and improving the overall experience by matching the right experience to the customer.

Qualifications:
Proficiency designing and implementing multi-tenant services powering data science calculations with such technologies as modern Python in a distributed computing ecosystem
Awareness of tools used in manipulation of large, complex datasets for use in analytic use cases using tools such as Python, Spark, PostgreSQL, Go. In addition, some experience with pyspark, tensorflow, numpy and pandas would be helpful
Knowledge of statistical methods, models and process and how they are applied to data cleaning processing and prediction
Familiarity with UI languages and platforms across all application layers including JavaScript
Experience with continuous integration and deployment on Jenkins
Familiarity with data sets in myriad of formats and storage technologies/databasessuch as HDFS, Avro, CSV, JSON
Ability to work within an iterative software development lifecycle, under Agile development processes
Proficiency with common software engineering best practices, such as pairing, test-driven development (TDD), writing unit and integration tests, and participating in code reviews
Excellent written and verbal communication
Hands-on self starter
Authorization to work for any employer in the US required.

Powered by JazzHR",2.8,"BryterCX
2.8",United States,51 to 200 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Data Scientist,-1,"COMPANY

AccuWeather, recognized and documented as the most accurate source of weather forecasts and warnings in the world, has saved tens of thousands of lives, prevented hundreds of thousands of injuries and tens of billions of dollars in property damage. With global headquarters in State College, PA and other offices around the world, AccuWeather serves more than 1.5 billion people daily to help them plan their lives and get more out of their day through innovative digital media properties, such as AccuWeather.com and mobile, as well as Business Solutions (AFB), radio, television, newspapers, and the 24/7 AccuWeather Network.

Additionally, AccuWeather produces and distributes news, weather content, and video for more than 180,000 third-party websites. Among AccuWeather's many innovative and award-winning features free to the public are MinuteCast® Minute by Minute™ forecasts with Superior Accuracy™. Further, AccuWeather serves more than half of Fortune 500 companies and thousands of businesses globally.

RESPONSIBILITIES:
Work with multiple data formats, databases, and storage technologies to perform comprehensive analysis and report findings.
Partner with different departments to determine needs, scope solutions, and communicate findings to non-technical audiences.
Independently perform data cleaning, merging, analysis, and visualization including predictive analytics, statistical modeling, and machine learning.
Visualize and communicate results.
Engage in cloud-based development & implementation of machine learning.
Explore, test, and implement methods that perform machine learning techniques that will leverage some of the largest datasets on the planet.
Design and build technology that supports continuous improvements in machine learning driven forecasting systems.
Support AccuWeather labs innovation efforts.
Keep abreast with best practices and trends.
QUALIFICATIONS:
B.S. or M.S. (preferred) in Computer Science, Applied Mathematics, Meteorology or a similar, relevant field.
Experience working with and deploying projects in a cloud infrastructure.
Experience accessing and working with scientific data sets.
Familiarity working with large datasets leveraging technology that may include BigQuery, AWS Athena, Tableau, and/or Power BI
Analyzing data through R and/or Python
Familiarity with one or more RTB ad management & DSP & SSP platforms
Deep mathematical and technical understanding of many AI methodologies.
Excellent organizational and time management skills.
Desire and interest in keeping up to date on what is and what is new in data science.
AccuWeather is proud to be an Equal Opportunity/Affirmative Action Employer. We are committed to equal employment opportunity to all applicants and existing employees and we evaluate qualified applicants without regard to race, creed, color, national origin, sex (including pregnancy and gender identity/expression), sexual orientation, age, ancestry, physical or mental disability, marital status, political affiliation, religion, citizenship status, genetic information, veteran status, or any other basis protected under applicable federal, state, or local law. View the EEO is the Law poster here and its supplement here. The pay transparency policy is available here.

AccuWeather is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please send an e-mail to human.resources@accuweather.com and let us know the nature of your request and your contact information.",3.7,"AccuWeather
3.7",Remote,201 to 500 Employees,1962,Company - Private,TV Broadcast & Cable Networks,Media,$100 to $500 million (USD)
Data Engineer,-1,"You can make a salary. Or you can make a difference. Or you can work as a Data Engineer at Herman Miller and make both.

About this Opportunity
As a Data Engineer, you'll move and integrate data across multiple disparate systems. You will clean, normalize, and aggregate Herman Miller corporate reporting and analytics. You'll also provide support to functional areas by acting as expert in tools and methods for accessing, analyzing, and reporting corporate data.

What You'll Do
You'll have opportunities to speak up, solve problems, lead others, and be an owner every day as you...
Assist end users in reporting and analysis tools.
Collaborate with Analytics and Business Teams to improve data models that feed business intelligence tools, increase data accessibility, and foster data-driven decision making across the organization.
Define company data assets (data models).
Design data integrations and data quality framework.
Develop and maintain scalable data pipelines and build out new API integrations to support continuing increases in data volume and complexity.
Implement processes and systems to monitor data quality, ensuring production data is always accurate and available for the key stakeholders and business processes that depend on it.
Perform data analysis to troubleshoot data-related issues and assist in the resolution of data issues.
Work closely with a team of Application Developers, Architects, and Analysts.
Work closely with all Business Units and Software teams to develop strategy for long-term data platform architecture.
Write unit/integration tests and document work.
Perform additional responsibilities as requested to achieve business objectives.
Sound Like You?
You might be just who we’re looking for if you have...
A Bachelor's degree in Computer Science or a related technical field.
Fully proficient retail and online retail data engineering abilities, typically gained through five years of working with Python/Java, SQL, working schema design, and dimensional data modeling.
At least five years of experience, or and equivalent combination of education and experience.
Experience designing, building, and maintaining data processing systems.
Experience working with cloud services and cloud data warehouses.
Experience with Snowflake, Matillion, Tableau, Business Objectives, and Net Suite (desirable).
The ability to manage and communicate data warehouse plans to internal clients.
Expert knowledge of best practices and IT operations in an always-up, always-available service.
Experience with or knowledge of Agile Software Development methodologies.
Advanced problem-solving and troubleshooting skills with the ability to identify and solve complex business needs.
The ability to be process-oriented with great documentation skills.
Excellent oral and written communication skills with a keen sense of customer service.
The ability to perform all essential job functions of the position with or without accommodations.
Who We Are
At Herman Miller, our unique culture represents the collective attitudes, ideas, and experiences of the people who work here. We focus on protecting the environment, impacting our communities, exceeding the expectations of our customers through high quality products, and championing diversity in all areas of the business, and together we are on a journey toward a better world. We support the well-being of our employees in and outside of work by providing a variety of opportunities including award-winning work-life integration resources, development programs, complex health and wellness offerings, and much more.

Herman Miller is a globally recognized provider of furnishings and related technologies and services. Headquartered in West Michigan, we have relied on innovative design for over 100 years to solve problems for people wherever they work, live, learn, and heal.

Herman Miller is committed to diversity and inclusion. We are an equal opportunity employer including veterans and people with disabilities.

Apply Now!",3.7,"Herman Miller
3.7",United States,5001 to 10000 Employees,1905,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
Senior Data Scientist,-1,"Chat with a recruiter today! Follow this link: https://flashrecruit.com/jobs/50818747

Job Overview:
Our client will be hiring a Senior Data Scientist with deep technical capability and energy storage or renewable energy industry experience. Python and SQL coding skills are required.

Report to the Sr. Director of Product Management. Assist with developing, refining, and advancing energy storage technology for use in the next generation of the grid.

***We are unable to work with 3rd-party or C2C candidates for this role***

Responsibilities
Model and algorithm development
Work with Product to help prototype new analytics and optimization offerings
Conduct deep dive analyses of product challenges and opportunities; formulate conclusions and recommendations to be presented to senior leadership
Produce written recommendations and insights for key stakeholders that will help shape effective metric development and reporting
Simplify and automate reporting, audits, and other data-driven activities; build solutions to have maximum scale and self-service ability by stakeholders
Recognize and adopt best practices in reporting and analysis: data integrity, analysis, and documentation
Support business with time-critical tactical data analyses

Qualifications
5+ years of experience in predictive analytics or data science.
1 year of Energy storage or renewable energy industry experience.
2 years of experience with relational databases - e.g. SQL, Redshift, Data Warehouse, etc.
1 year of experience programming in Python.
An ability to thrive in a highly ambiguous, fast-paced and rapidly changing environment
Chat with a recruiter today! Follow this link: https://flashrecruit.com/jobs/50818747",-1.0,Tech Talent Link,"Tualatin, OR",1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD)
